<PAD>,0
<UNK>,1
 ,2
"
",3
",",4
e,5
1,6
i,7
0,8
a,9
.,10
o,11
n,12
t,13
的,14
2,15
s,16
r,17
l,18
),19
(,20
。,21
m,22
3,23
、,24
5,25
4,26
d,27
糖,28
c,29
病,30
A,31
-,32
C,33
P,34
h,35
g,36
血,37
T,38
6,39
p,40
D,41
u,42
7,43
8,44
L,45
素,46
性,47
9,48
G,49
尿,50
组,51
者,52
R,53
S,54
分,55
M,56
和,57
患,58
H,59
用,60
/,61
b,62
y,63
中,64
发,65
I,66
:,67
[,68
],69
f,70
;,71
高,72
在,73
±,74
有,75
为,76
对,77
体,78
与,79
生,80
细,81
胞,82
胰,83
F,84
B,85
N,86
%,87
因,88
能,89
研,90
究,91
可,92
岛,93
及,94
一,95
重,96
表,97
型,98
于,99
关,100
疗,101
O,102
治,103
脂,104
量,105
化,106
显,107
平,108
相,109
后,110
低,111
不,112
是,113
w,114
年,115
水,116
制,117
合,118
v,119
增,120
以,121
进,122
常,123
<,124
物,125
E,126
白,127
基,128
降,129
其,130
度,131
大,132
结,133
内,134
作,135
应,136
现,137
明,138
心,139
时,140
等,141
甲,142
骨,143
期,144
并,145
动,146
状,147
学,148
加,149
症,150
人,151
上,152
管,153
药,154
蛋,155
而,156
测,157
达,158
成,159
过,160
比,161
数,162
正,163
或,164
~,165
剂,166
下,167
要,168
肾,169
较,170
激,171
例,172
腺,173
多,174
代,175
K,176
标,177
前,178
变,179
指,180
示,181
异,182
酸,183
均,184
同,185
率,186
功,187
本,188
方,189
检,190
抗,191
行,192
调,193
间,194
k,195
临,196
β,197
无,198
通,199
受,200
质,201
定,202
床,203
险,204
国,205
谢,206
小,207
x,208
减,209
果,210
U,211
活,212
鼠,213
了,214
泌,215
出,216
类,217
诊,218
压,219
抑,220
使,221
个,222
肪,223
经,224
提,225
别,226
计,227
影,228
预,229
二,230
导,231
=,232
析,233
少,234
风,235
子,236
医,237
肥,238
系,239
升,240
断,241
统,242
列,243
理,244
效,245
脉,246
格,247
外,248
胖,249
响,250
法,251
疾,252
验,253
致,254
差,255
长,256
脏,257
种,258
程,259
此,260
据,261
目,262
转,263
机,264
但,265
酶,266
腹,267
控,268
全,269
查,270
注,271
清,272
院,273
龄,274
周,275
次,276
实,277
随,278
群,279
联,280
自,281
反,282
肝,283
著,284
醇,285
入,286
特,287
也,288
照,289
密,290
改,291
采,292
W,293
值,294
证,295
三,296
到,297
意,298
皮,299
女,300
最,301
主,302
起,303
空,304
存,305
点,306
且,307
科,308
样,309
维,310
胆,311
术,312
固,313
所,314
双,315
V,316
炎,317
位,318
这,319
之,320
非,321
干,322
促,323
如,324
征,325
单,326
织,327
来,328
肽,329
态,330
具,331
食,332
危,333
更,334
试,335
他,336
项,337
肌,338
总,339
准,340
免,341
围,342
利,343
新,344
由,345
节,346
未,347
原,348
X,349
各,350
部,351
情,352
线,353
见,354
月,355
会,356
综,357
至,358
强,359
餐,360
+,361
解,362
从,363
复,364
感,365
男,366
义,367
损,368
瘤,369
抵,370
酮,371
评,372
展,373
道,374
面,375
力,376
步,377
氧,378
收,379
儿,380
需,381
家,382
推,383
超,384
引,385
死,386
疫,387
件,388
肿,389
取,390
岁,391
膜,392
善,393
产,394
图,395
除,396
Z,397
早,398
身,399
服,400
参,401
汀,402
亡,403
养,404
选,405
况,406
每,407
包,408
J,409
肠,410
葡,411
饮,412
缺,413
萄,414
呈,415
该,416
积,417
第,418
>,419
模,420
确,421
将,422
Y,423
已,424
液,425
日,426
建,427
神,428
严,429
南,430
脲,431
接,432
形,433
染,434
切,435
共,436
式,437
足,438
胍,439
象,440
立,441
处,442
持,443
估,444
荐,445
还,446
妊,447
娠,448
然,449
两,450
色,451
≥,452
础,453
冠,454
油,455
得,456
级,457
论,458
钙,459
甘,460
射,461
括,462
亚,463
料,464
运,465
张,466
着,467
腰,468
良,469
报,470
区,471
认,472
手,473
口,474
史,475
j,476
吸,477
慢,478
地,479
限,480
诱,481
观,482
资,483
缓,484
些,485
球,486
波,487
保,488
轻,489
浓,490
防,491
近,492
美,493
微,494
磷,495
当,496
敏,497
依,498
含,499
癌,500
氨,501
族,502
伴,503
“,504
育,505
脑,506
则,507
直,508
回,509
公,510
天,511
硬,512
缩,513
排,514
痛,515
耐,516
即,517
被,518
路,519
我,520
述,521
放,522
信,523
根,524
殖,525
续,526
考,527
整,528
Q,529
好,530
仍,531
讨,532
环,533
z,534
康,535
否,536
健,537
议,538
刺,539
司,540
文,541
海,542
事,543
亢,544
尚,545
负,546
安,547
孕,548
号,549
松,550
离,551
μ,552
×,553
仅,554
乏,555
酯,556
似,557
传,558
识,559
α,560
光,561
拉,562
监,563
毒,564
速,565
磺,566
终,567
失,568
颈,569
核,570
静,571
突,572
布,573
们,574
予,575
开,576
冶,577
培,578
录,579
护,580
给,581
独,582
流,583
名,584
规,585
逐,586
鲁,587
摄,588
察,589
始,590
老,591
适,592
伤,593
市,594
视,595
集,596
胎,597
粥,598
金,599
急,600
赖,601
题,602
属,603
访,604
睡,605
择,606
乳,607
q,608
构,609
探,610
案,611
释,612
移,613
专,614
归,615
附,616
四,617
说,618
粒,619
键,620
介,621
范,622
钠,623
',624
眼,625
往,626
青,627
酒,628
向,629
舒,630
稳,631
源,632
菌,633
趋,634
价,635
首,636
妇,637
凋,638
眠,639
℃,640
筛,641
占,642
障,643
另,644
短,645
克,646
游,647
按,648
够,649
问,650
黄,651
疏,652
室,653
衰,654
越,655
虑,656
约,657
阳,658
供,659
完,660
段,661
碍,662
乱,663
易,664
元,665
紊,666
肉,667
侧,668
渐,669
倍,670
条,671
极,672
退,673
获,674
循,675
局,676
算,677
再,678
广,679
片,680
充,681
般,682
延,683
软,684
径,685
势,686
精,687
阻,688
没,689
遗,690
红,691
肢,692
层,693
网,694
像,695
折,696
*,697
热,698
浆,699
电,700
酰,701
都,702
营,703
挥,704
石,705
童,706
先,707
器,708
梗,709
教,710
志,711
交,712
就,713
左,714
靶,715
塞,716
助,717
造,718
夜,719
噬,720
支,721
消,722
卫,723
害,724
西,725
民,726
阿,727
技,728
记,729
李,730
很,731
京,732
尤,733
禁,734
益,735
知,736
既,737
—,738
仪,739
普,740
词,741
佳,742
优,743
工,744
住,745
继,746
北,747
烟,748
曲,749
胃,750
那,751
旁,752
臀,753
停,754
带,755
≤,756
骼,757
羟,758
补,759
晚,760
垂,761
息,762
谷,763
互,764
域,765
囊,766
略,767
聚,768
忆,769
校,770
纤,771
唑,772
止,773
植,774
何,775
纯,776
盐,777
纳,778
混,779
初,780
容,781
针,782
配,783
破,784
κ,785
替,786
杂,787
头,788
只,789
亦,790
巴,791
盒,792
王,793
任,794
必,795
酐,796
协,797
避,798
品,799
快,800
华,801
》,802
连,803
尽,804
阴,805
竭,806
罗,807
献,808
沙,809
《,810
母,811
斑,812
脱,813
批,814
员,815
虽,816
途,817
峰,818
末,819
右,820
溶,821
齐,822
换,823
滤,824
符,825
衡,826
块,827
序,828
备,829
胶,830
恢,831
余,832
丙,833
字,834
师,835
沉,836
钾,837
陈,838
卒,839
底,840
绝,841
滋,842
氮,843
碘,844
它,845
待,846
板,847
购,848
书,849
幅,850
界,851
髓,852
厚,853
去,854
声,855
雷,856
卡,857
坏,858
?,859
γ,860
恶,861
官,862
半,863
巨,864
许,865
泛,866
逆,867
棕,868
肺,869
映,870
镜,871
龙,872
甚,873
修,874
济,875
链,876
置,877
故,878
淋,879
称,880
际,881
境,882
告,883
温,884
施,885
雌,886
滴,887
东,888
世,889
难,890
索,891
启,892
律,893
乙,894
累,895
雄,896
若,897
抽,898
敲,899
社,900
便,901
扩,902
设,903
斯,904
典,905
门,906
几,907
省,908
荧,909
夫,910
汉,911
授,912
嗪,913
刘,914
频,915
远,916
泄,917
荷,918
输,919
碱,920
毛,921
端,922
苷,923
汁,924
山,925
碳,926
尔,927
深,928
腔,929
醛,930
卵,931
简,932
慰,933
印,934
林,935
潜,936
膳,937
霉,938
偏,939
亲,940
吡,941
鉴,942
胸,943
泡,944
孔,945
艾,946
哺,947
椎,948
裂,949
郁,950
百,951
五,952
紧,953
又,954
居,955
殊,956
杨,957
叶,958
洲,959
顾,960
弱,961
语,962
谱,963
股,964
英,965
划,966
瞻,967
睾,968
追,969
军,970
望,971
命,972
苏,973
编,974
催,975
瑞,976
马,977
载,978
决,979
孵,980
瘦,981
阶,982
透,983
噻,984
肤,985
摘,986
须,987
”,988
迹,989
十,990
隆,991
觉,992
胚,993
措,994
胺,995
气,996
州,997
欧,998
氏,999
晨,1000
尼,1001
留,1002
富,1003
陷,1004
判,1005
冲,1006
版,1007
春,1008
洗,1009
某,1010
溃,1011
氢,1012
伐,1013
策,1014
辅,1015
求,1016
业,1017
奈,1018
队,1019
熟,1020
庆,1021
江,1022
脯,1023
迅,1024
贵,1025
呼,1026
曾,1027
玉,1028
言,1029
丁,1030
渗,1031
窄,1032
满,1033
疡,1034
狭,1035
争,1036
闭,1037
·,1038
扰,1039
胱,1040
却,1041
晓,1042
赶,1043
婴,1044
伟,1045
今,1046
材,1047
黎,1048
库,1049
角,1050
音,1051
冬,1052
